State,Year,Quarter,Brand,Transaction_count,Percentage
Arunachal Pradesh,2018,1,Motorola,343,0.015957199348685003
Arunachal Pradesh,2018,1,Others,2144,0.09974412654105601
Arunachal Pradesh,2018,2,Xiaomi,8058,0.245050634066234
Arunachal Pradesh,2018,2,Samsung,6633,0.20171517197336
Arunachal Pradesh,2018,2,Vivo,5591,0.17002706565702602
Arunachal Pradesh,2018,2,Oppo,4204,0.127847215886628
Arunachal Pradesh,2018,2,Realme,1943,0.059088282699267004
Arunachal Pradesh,2018,2,Apple,869,0.026427029164005002
Arunachal Pradesh,2018,2,Gionee,730,0.022199920931788002
Arunachal Pradesh,2018,2,Lenovo,581,0.017668704193656
Arunachal Pradesh,2018,2,OnePlus,554,0.016847611227686
Arunachal Pradesh,2018,2,Motorola,514,0.015631177204026
Arunachal Pradesh,2018,2,Others,3206,0.09749718699632001
Arunachal Pradesh,2018,3,Xiaomi,11250,0.244980619311005
Arunachal Pradesh,2018,3,Samsung,9307,0.20266974434911303
Arunachal Pradesh,2018,3,Vivo,8226,0.179129828840207
Arunachal Pradesh,2018,3,Oppo,5992,0.130482121858804
Arunachal Pradesh,2018,3,Realme,2676,0.058272723313444005
Arunachal Pradesh,2018,3,Apple,1153,0.025107791472496
Arunachal Pradesh,2018,3,Gionee,1024,0.022298680371063
Arunachal Pradesh,2018,3,OnePlus,740,0.016114280736901
Arunachal Pradesh,2018,3,Motorola,722,0.015722311746004
Arunachal Pradesh,2018,3,Lenovo,629,0.013697138626366002
Arunachal Pradesh,2018,3,Others,4203,0.09152475937459101
Arunachal Pradesh,2018,4,Xiaomi,15097,0.24408264890383402
Arunachal Pradesh,2018,4,Samsung,12580,0.20338873439824
Arunachal Pradesh,2018,4,Vivo,11624,0.18793248399405002
Arunachal Pradesh,2018,4,Oppo,8328,0.134643988876673
Arunachal Pradesh,2018,4,Realme,3613,0.058413632542197
Arunachal Pradesh,2018,4,Apple,1517,0.024526288559787
